value,size
0.00025331974029541016,7
0.0008190274238586426,5
-0.00039124488830566406,6
0.00016945600509643555,3
2.0205974578857422e-05,6
-0.00524979829788208,8
-6.67572021484375e-06,5
0.012559592723846436,5
0.00015783309936523438,7
-4.076957702636719e-05,5
0.0023558735847473145,4
0.0007675290107727051,4
0.005547881126403809,6
0.004791975021362305,7
-0.0027222037315368652,8
-0.0005268454551696777,7
-6.735324859619141e-06,4
0.000377655029296875,6
-1.1920928955078125e-07,3
-9.691715240478516e-05,6
0.0020270347595214844,7
0.0009136199951171875,7
0.0009443759918212891,9
7.408857345581055e-05,5
0.0001793503761291504,5
0.0019811391830444336,6
-0.0023766160011291504,5
-0.0015210509300231934,7
0.002231121063232422,8
0.004221856594085693,5
-0.0005929470062255859,8
-0.0011507868766784668,5
0.0006507039070129395,6
-0.0030475258827209473,10
-0.0006088614463806152,6
-0.003058493137359619,4
0.0020137429237365723,4
-0.0014057755470275879,9
-0.00020688772201538086,6
-0.005755126476287842,3
0.006265103816986084,9
-0.0002639293670654297,9
-0.0007212162017822266,8
-0.002663731575012207,3
6.496906280517578e-06,3
-0.0008654594421386719,6
-4.112720489501953e-06,6
-0.0001989603042602539,4
0.0010339617729187012,7
4.470348358154297e-06,6
-0.0028085708618164062,4
-9.012222290039062e-05,7
0.00033211708068847656,8
-2.980232238769531e-07,3
0.00035268068313598633,4
0.0005932450294494629,7
-1.4424324035644531e-05,6
0.000732719898223877,8
-0.0002911090850830078,6
-0.0014892220497131348,7
1.7881393432617188e-07,3
-4.470348358154297e-06,6
6.258487701416016e-06,5
-0.0061190128326416016,7
-0.00018936395645141602,6
0.002208113670349121,6
0.0005261898040771484,6
-0.0004356503486633301,7
0.0014685392379760742,6
-4.0531158447265625e-06,4
3.933906555175781e-06,6
0.0014018416404724121,8
0.0001887679100036621,6
0.00247114896774292,8
-0.00010311603546142578,6
0.004457533359527588,6
0.0002315044403076172,6
3.123283386230469e-05,4
4.869699478149414e-05,8
0.0005953311920166016,5
0.00015997886657714844,5
-0.00642627477645874,10
-4.2498111724853516e-05,7
0.0007901787757873535,6
-0.004064083099365234,10
-0.00010591745376586914,8
0.0028198957443237305,5
-0.0002079010009765625,6
4.76837158203125e-07,5
0.001053452491760254,2
-5.364418029785156e-07,5
-5.78761100769043e-05,8
-0.0035061240196228027,6
-2.86102294921875e-05,6
0.0019954442977905273,7
-0.0038553476333618164,5
9.363889694213867e-05,3
9.834766387939453e-05,3
-0.00015914440155029297,5
-0.00013560056686401367,4
0.0001309514045715332,4
-0.0010106563568115234,5
0.0008327960968017578,7
-4.023313522338867e-05,6
0.00012570619583129883,5
-3.0100345611572266e-05,6
0.00018703937530517578,5
0.00202864408493042,9
-0.0006240606307983398,4
0.0006222724914550781,6
0.0038382411003112793,4
8.112192153930664e-05,7
0.004799902439117432,9
0.0007750988006591797,8
0.0037111639976501465,5
-0.0019420981407165527,9
-9.28044319152832e-05,3
-0.0016124844551086426,7
0.0006857514381408691,7
0.0006968975067138672,8
0.0006090998649597168,4
-4.929304122924805e-05,9
-0.0001404881477355957,8
-0.0007696151733398438,4
2.2351741790771484e-05,6
-0.009607315063476562,5
0.0022423863410949707,7
9.655952453613281e-06,7
-0.0005106329917907715,7
0.0001487135887145996,7
-0.0039174556732177734,8
0.00037616491317749023,5
3.8504600524902344e-05,5
-9.274482727050781e-05,4
-0.0001933574676513672,7
0.0002999305725097656,6
0.01564723253250122,3
0.0005377531051635742,5
-5.960464477539062e-07,5
0.0039539337158203125,5
-0.0015193819999694824,8
-0.00011777877807617188,4
0.003702700138092041,9
-0.0006382465362548828,6
7.56382942199707e-05,8
-5.6684017181396484e-05,7
-0.00032329559326171875,6
-0.00144195556640625,7
0.0017580986022949219,4
-0.005295455455780029,6
-8.291006088256836e-05,9
-6.759166717529297e-05,5
-3.039836883544922e-06,5
-0.00040709972381591797,6
1.0311603546142578e-05,6
-3.170967102050781e-05,6
-0.0002999305725097656,7
-0.0001342296600341797,7
-7.49826431274414e-05,10
5.811452865600586e-05,5
0.00017887353897094727,4
0.00042259693145751953,6
-0.0009066462516784668,6
0.004229366779327393,5
8.088350296020508e-05,6
6.341934204101562e-05,8
0.00036853551864624023,8
-0.00021982192993164062,4
-0.002066493034362793,8
1.7583370208740234e-05,6
-0.0009936690330505371,8
0.0008053183555603027,5
2.2649765014648438e-06,7
-0.013468265533447266,2
-0.00019234418869018555,7
-0.00011873245239257812,4
-0.0005929470062255859,7
-0.008205533027648926,5
0.001199483871459961,4
0.005059301853179932,7
-0.0017517805099487305,10
0.038785696029663086,4
0.00019532442092895508,7
9.179115295410156e-06,5
0.0008595585823059082,4
-0.00019466876983642578,6
-0.0007873177528381348,7
-0.0007175803184509277,9
4.094839096069336e-05,6
0.0012917518615722656,5
-0.00011080503463745117,9
0.00195920467376709,5
-0.0012105703353881836,4
1.6808509826660156e-05,7
-0.003784656524658203,7
0.00010001659393310547,8
0.0022219419479370117,7
0.0005526542663574219,3
-8.535385131835938e-05,4
0.0014498233795166016,9
-0.004398465156555176,9
0.00015121698379516602,3
-0.00033539533615112305,8
0.00014644861221313477,7
4.172325134277344e-07,3
9.101629257202148e-05,5
-0.0002544522285461426,5
1.2874603271484375e-05,6
1.4901161193847656e-06,5
-0.00029087066650390625,6
1.1324882507324219e-06,4
0.0003489851951599121,6
-0.004612565040588379,10
0.000788271427154541,7
0.0002726912498474121,5
-0.0008868575096130371,9
-0.0013642311096191406,5
-0.002769172191619873,6
1.6391277313232422e-05,5
0.00046497583389282227,9
0.00032210350036621094,6
0.0007839202880859375,6
-0.000569462776184082,4
9.685754776000977e-05,5
0.00020241737365722656,8
1.1920928955078125e-07,6
-1.990795135498047e-05,7
-0.0005466938018798828,4
0.0016431808471679688,6
-1.1086463928222656e-05,6
-0.0035848021507263184,6
0.0029987692832946777,7
0.0008026957511901855,9
0.0007770061492919922,7
0.00029844045639038086,6
0.0003331303596496582,6
-0.0005050301551818848,5
-0.0005640387535095215,6
-0.0018699169158935547,6
0.0037964582443237305,9
-0.0004717111587524414,7
0.0019599199295043945,8
0.0004742145538330078,5
-0.002453625202178955,6
0.004036426544189453,6
9.608268737792969e-05,5
-0.004625856876373291,3
-0.0012440681457519531,6
-0.0005272030830383301,10
0.0002256631851196289,7
-0.0014805793762207031,8
0.004998981952667236,7
-0.0015804767608642578,7
-0.00040340423583984375,7
-0.00010383129119873047,4
-0.0017620325088500977,8
-0.0015273690223693848,6
-9.5367431640625e-07,4
0.00922703742980957,3
-0.0012735724449157715,7
-0.003619670867919922,5
0.00013571977615356445,6
-0.0006243586540222168,8
-1.1920928955078125e-07,4
1.1920928955078125e-07,5
0.006934642791748047,7
-0.0006288886070251465,6
-7.68899917602539e-06,6
5.841255187988281e-06,7
0.014177441596984863,9
-0.0019384026527404785,6
-0.0001577138900756836,4
3.49879264831543e-05,4
0.002130448818206787,9
0.00017029047012329102,6
3.403425216674805e-05,5
0.00021845102310180664,6
0.0002912282943725586,6
-0.0003756284713745117,7
0.00013238191604614258,5
0.011465311050415039,3
-0.002243936061859131,7
-0.00012630224227905273,7
-0.00030684471130371094,6
-0.0011358261108398438,2
0.005556643009185791,3
-0.0014582276344299316,8
-0.00250166654586792,9
-0.0001842975616455078,8
-0.0005714297294616699,8
0.005556941032409668,3
4.762411117553711e-05,7
-0.0009973645210266113,7
-0.0017923712730407715,9
-3.36766242980957e-05,6
0.000256955623626709,6
-0.0024358630180358887,5
-0.0007142424583435059,6
0.00032269954681396484,4
0.00021338462829589844,3
0.0009036064147949219,5
0.00044852495193481445,5
-0.0002741813659667969,4
-0.0002983212471008301,6
0.000849306583404541,8
2.7418136596679688e-06,5
-0.0006508827209472656,6
0.0016183853149414062,6
0.00021386146545410156,3
-0.0001583695411682129,6
-0.0012714266777038574,7
0.0013161897659301758,6
-0.00047403573989868164,6
0.0009844303131103516,9
-0.0007802248001098633,8
8.666515350341797e-05,4
-0.001982271671295166,6
0.000733494758605957,7
7.301568984985352e-05,7
0.002350926399230957,3
0.0005673766136169434,7
0.00093841552734375,9
-0.002898871898651123,6
0.0004010200500488281,5
0.00015407800674438477,6
0.0019904375076293945,7
-1.9073486328125e-06,6
0.0006911158561706543,5
0.0031048059463500977,3
0.004973649978637695,7
-1.4841556549072266e-05,3
-0.0007866621017456055,7
-0.011145949363708496,10
-0.00045758485794067383,4
0.009038448333740234,3
0.0008626580238342285,8
0.0009126067161560059,11
-0.001455068588256836,4
0.00013977289199829102,8
5.9664249420166016e-05,6
6.884336471557617e-05,6
0.00023788213729858398,5
0.00028842687606811523,6
7.647275924682617e-05,3
-0.0021347999572753906,6
0.0005127787590026855,4
-0.0007554292678833008,7
5.7756900787353516e-05,6
0.008004307746887207,6
0.002352595329284668,9
0.0003694295883178711,5
-0.0006439089775085449,4
2.980232238769531e-07,4
-0.00013750791549682617,5
-0.0008862614631652832,3
0.0010204315185546875,6
-3.5762786865234375e-07,5
0.01343613862991333,7
3.725290298461914e-05,8
5.424022674560547e-06,5
-2.384185791015625e-07,6
-0.0046569108963012695,5
-4.2438507080078125e-05,7
7.05718994140625e-05,10
3.6597251892089844e-05,6
1.1742115020751953e-05,4
-0.0023320913314819336,6
-1.4722347259521484e-05,4
0.0002205371856689453,4
-0.0002707242965698242,6
-0.0001175999641418457,6
-0.0006298422813415527,7
0.00031876564025878906,7
0.0011887550354003906,6
0.00016999244689941406,5
1.1920928955078125e-07,4
0.002331376075744629,9
0.04729342460632324,4
0.0017826557159423828,4
0.0002148151397705078,7
0.0005787014961242676,7
-0.001179814338684082,8
-0.0005556344985961914,4
-9.244680404663086e-05,8
0.0007942318916320801,4
-0.0010837316513061523,7
-0.0047626495361328125,7
0.004253089427947998,7
-0.00019806623458862305,6
0.0007179379463195801,4
-9.953975677490234e-05,6
-0.0007674098014831543,7
7.37309455871582e-05,7
-0.00012993812561035156,5
-6.377696990966797e-06,4
3.248453140258789e-05,5
0.0010027289390563965,5
0.0066065192222595215,8
4.786252975463867e-05,6
-0.00017064809799194336,5
-0.0016788244247436523,7
-1.1920928955078125e-07,4
0.0007840991020202637,3
-0.0007305741310119629,8
0.0002662539482116699,7
-0.011188626289367676,5
0.0026772618293762207,9
-2.384185791015625e-07,3
0.0008099079132080078,7
-0.0019109249114990234,4
0.001223921775817871,5
