,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.009144961640395114,0.01345226072054384,0.004621531885534382,1.0058397216191934,0.002244190162331502,0.01662861243811585,0.005684961095457178,0.0023350729743495434,0.006130872086113293,22,13
2,0.0029355105407922262,0.008759937331586976,0.0059686325152184735,0.02652224254809464,0.003437751243756767,0.06982596962023467,0.0037950796773156634,0.0006616037140289504,0.0019994255791671023,88,79
3,0.0010091593243118848,0.0027079300968049225,0.002772760304081263,0.0005148666706699637,0.0003309452180702628,0.010904956248823379,0.0034545107121888774,0.00046133840652282787,0.0012682591321171444,306,297
4,0.000523431443415556,0.001701293640524959,0.0010326557639612104,2.3624680052279862e-05,2.1994861753994498e-05,0.0020469470207589656,0.001619478978160678,0.0003344438734783549,0.0009977071029201312,784,775
5,0.0005322011959906667,0.0020814881450936795,0.0002008581162464678,8.566549631654404e-06,8.848425167807849e-06,0.000675061394151564,0.0007202916567652269,0.000369067119114275,0.0006923107599936529,1512,1503
6,0.0004994074782769924,0.0016197592889168888,0.00021678887158314443,8.554288130544915e-06,8.853269660731771e-06,0.0005503457349589668,0.0003336182623634494,0.0002797779203332478,0.00040434570120062574,2295,2287
7,0.00022461873060666409,0.0008030067924087447,0.0001019941326150271,8.553151841764024e-06,8.852449018990766e-06,0.0002382359645352869,0.00014341766647325816,0.00030998216074396,0.00019861179413016572,2889,2883
8,3.1247055399321545e-05,0.00010687065957792896,0.00015216999026207903,2.1973192921458025e-06,6.4119569913502415e-06,9.932285090899041e-05,6.233873941881293e-05,0.0001018830943411426,6.519507925162316e-05,3201,3196
9,8.35676852650897e-07,2.1985328961804385e-06,0.0002139328750147008,2.2008331995616146e-06,6.411779774553127e-06,8.64489903849384e-05,7.297312412401511e-05,1.2678531585535135e-06,3.6825599654122243e-06,3308,3304
10,2.7383433061414525e-14,1.099591528941346e-10,7.053103107871746e-05,2.2004363266957702e-06,6.4123874948158346e-06,9.781449725747896e-05,6.237510203458659e-05,9.430975498246927e-09,2.2012667244553086e-09,3328,3326
11,2.154512803778848e-14,1.099511592883573e-10,5.713464087246988e-05,2.2022600990856023e-06,6.411969359639924e-06,7.213258368549908e-05,5.471059060260668e-05,2.154512803778848e-14,1.099511592883573e-10,3328,3328
