,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.01192966473050005,0.028103197253602274,0.004160731616796432,3.565281487001672,0.0015933794808344966,0.06189152471109046,0.013538843854115929,0.001884239689299488,0.0071851111188441785,22,12
2,0.009092849510952886,0.017418005043130652,0.0027924572338987068,0.04755291232690072,0.013194178548685046,0.10486660663026402,0.0029283897250460236,0.0013409794046120276,0.0025236133521932824,68,58
3,0.003245282648960442,0.0048558701403421944,0.0027599959583138487,0.0010449470279831705,0.0007217111190890701,0.0336185715006416,0.0028145028650084546,0.0010059411786345386,0.0006984288763965396,168,159
4,0.0002678652976821735,0.0006627576118214684,0.002134730336848807,0.00035119194514540356,0.0004087250252987189,0.01908446243447744,0.002650193141462718,0.00043199878606863093,0.00015049083831218668,295,287
5,9.0461486540567e-05,0.00032321846194645343,0.002116334323119355,5.947531652465737e-05,5.768844911777776e-05,0.006398483268996166,0.001275704889939944,0.0003209881215055617,6.383317053175463e-05,389,382
6,5.911536947284763e-06,0.00014594230470213465,0.002108433452914624,5.990854431249543e-05,5.864796309423082e-05,0.007421585023349496,0.0011214607422850163,0.00010758580938930822,2.2010493880439408e-05,423,421
7,9.487170131478724e-15,1.1121284448911695e-11,0.0014615260410183496,5.943553575081102e-05,5.827375593828592e-05,0.004568144426401567,0.0012307325499619284,5.454138884609671e-06,3.215370809786511e-06,431,430
8,2.0408107247053573e-14,1.111394309916136e-11,0.0030317050302443842,5.970591696459096e-05,5.78920530474251e-05,0.006697577398236089,0.0011754579369826666,2.0408107247053573e-14,1.111394309916136e-11,431,431
