,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.0009311348362126885,0.002689202501970911,0.015168024760037039,0.0011254425751201591,0.0005045564604532507,0.09044534566811888,0.09503391676453994,0.0003887254757664036,0.0014032754051249707,27,15
2,0.0002046787796589296,0.0011376507681419845,0.0011057444504533392,0.013550967247984188,0.0015596853541816594,0.8996234464011234,0.010085467810233582,0.0002172404229596681,0.0006697613305810535,99,87
3,0.00011848553341094333,0.0005128576822981401,0.0007644586303965644,0.0002239783151479318,0.00015508799401019234,0.1547628407961885,0.010702356103319257,0.00020766622303492222,0.0003174214771206607,292,280
4,5.8474345405980676e-05,0.00018455111528670187,0.0001673452778800223,0.00012869783454925765,7.670620087026124e-05,0.058642537017559046,0.009769761168672484,4.9872764665439054e-05,0.0001328856090807573,588,580
5,1.8499342243068883e-05,8.682604406473615e-05,0.0001666837158826957,1.6210708691840844e-05,1.538127645278904e-05,0.032359769050948575,0.005452864940093801,6.41732607330731e-05,6.635283104117207e-05,869,861
6,8.062403862985357e-06,5.0532409558545766e-05,0.00013870205043614922,1.6176097642193717e-05,1.5456667273615407e-05,0.016316866189190964,0.005422613872209064,2.7026717492597513e-05,2.0027519251009096e-05,1026,1020
7,8.134333543811569e-07,1.7817856529767084e-05,0.0005893371706282368,1.6164563211917574e-05,1.5426275178198544e-05,0.029261676811620816,0.005286093153200593,1.4968916993417444e-05,4.086162531447002e-06,1078,1075
8,4.019778407575619e-14,1.544917971330051e-09,0.0002762600802733013,1.6203437152604237e-05,1.545768293613038e-05,0.023323831185266014,0.005262790190424598,7.606480319525348e-07,3.969520909752333e-07,1087,1086
9,4.0307257252809425e-14,1.5449170831516312e-09,0.000196058217807368,1.6199530918234207e-05,1.5533827934422882e-05,0.027489197694590996,0.005267913428663195,4.0307257252809425e-14,1.5449170831516312e-09,1087,1087
