,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,4.3295047726278765e-05,0.00033137850003558955,0.0002651315654344837,0.005648571911826177,3.916463185966315e-05,0.008767177435060548,0.008322117562893317,2.4847022252961194e-05,0.0002503863753128971,24,13
2,0.0001003877385002875,0.0003070647682338612,3.832538614326317e-05,0.0009993763816191846,0.040552754451334244,0.0729032069191862,0.00015116521925956467,3.6381624048761765e-05,0.00021064140398438513,80,69
3,0.00018432722325856135,0.0003266976691165546,5.047430271775724e-05,3.06421818993097e-05,3.432347597336686e-05,0.009806706239743845,0.00031907001723809373,4.110684642733845e-05,0.00014584483522676883,219,208
4,5.063982489378972e-05,0.0001864863996253463,3.804185915759446e-05,1.1612106912178703e-05,1.0873270245338164e-05,0.0053336918735444995,0.00022931621091174892,5.6258747819538474e-05,0.0001051264881117564,419,409
5,6.97395259847667e-06,0.00017852278102312158,3.437709822395489e-05,1.67331134295176e-06,1.7088171554346424e-06,0.001876602550825855,6.0189642921620526e-05,4.642768265984627e-05,6.0536686543821716e-05,591,582
6,1.4423048901113373e-06,0.00010204609000563636,3.8153463469486245e-05,1.6805625801051793e-06,1.6958395544581608e-06,0.001550643735046517,4.474673999036844e-05,1.9712954937986647e-05,2.2690442917916442e-05,672,668
7,2.1050010007926166e-15,4.514943974243124e-12,3.3999914581699705e-05,1.6773056237049692e-06,1.7148734910034074e-06,0.0014247819373250305,6.064305005140602e-05,4.1733415761989625e-06,4.2051573293094835e-06,695,692
8,1.5031198265545126e-15,4.514055795823424e-12,2.0990506767624128e-05,1.6737975063075535e-06,1.6811580214383084e-06,0.0014813420860617108,6.386837593286742e-05,1.5031198265545126e-15,4.514055795823424e-12,695,695
