,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.010785099703482615,0.016533417349265278,0.006901381487831154,2.1782012725822497,0.0032347931308412464,0.021244259407578497,0.018963136548515277,0.0030702212031962282,0.008677135102551858,27,15
2,0.001526235580429824,0.006192832513862712,0.009030654648636635,0.0068487331683732295,0.01674412786020261,0.2934324463080349,0.006020035947223667,0.0006846902686157635,0.003528382005375974,116,104
3,0.0005317515017139688,0.004182490727169252,0.002729478427737709,0.0006691693500043767,0.0004793525740442298,0.04891754965237587,0.004917179566289141,7.896745475664179e-05,0.00284515675582675,457,445
4,0.00043651867719907736,0.003798024150716728,0.0012155083477420772,2.582417219183078e-05,2.6451008113190256e-05,0.008254071869784258,0.0030975258131404958,0.0002040812276594314,0.0026695511405714356,1337,1325
5,0.00044230706952008204,0.004504066903173509,0.000273970777201998,1.270821215526581e-05,1.3154533362091202e-05,0.0015480331540185443,0.0018021691236662256,0.0006704847669130304,0.0024182496126465836,2953,2942
6,0.0014803388820758864,0.006775041295533857,0.00011239322939647774,1.2704085383636035e-05,1.3158774625890652e-05,0.0008497239216687128,0.001186622620116201,0.0024537637784839677,0.002064021477975908,5129,5120
7,0.0028935756473109186,0.007387244966603035,8.722756982197202e-05,5.179170070082515e-06,5.897857256955712e-06,0.00044142251257922827,0.0005501505771478504,0.005343763429691284,0.0016174290266253166,7307,7298
8,0.002910912248018618,0.006037559022223693,7.221836350575126e-05,5.179537608284376e-06,5.89816076467751e-06,0.00021146516579934873,0.00038832610144033875,0.005161102564277172,0.001102619134374594,8922,8915
9,0.0014753897239021634,0.0017593172877838903,4.069459329436452e-05,5.181139366794415e-06,5.897863217739522e-06,0.00015145711152585677,0.00031291491353955,0.003352112687170458,0.0006220127062412928,9801,9795
10,0.0003332489643311611,0.0006148386891466906,4.543037081933611e-05,5.180774766332424e-06,5.897432595541976e-06,0.00020024682149715628,0.0002900300187752838,0.0016554374732789064,0.0002723707501957051,10139,10136
11,1.8728447355312256e-05,0.00028411768283964633,5.296003672876388e-05,5.181463339519235e-06,5.898064368157342e-06,0.00018161059337571563,0.00022998601707143279,0.00040597367147419944,7.857233449337642e-05,10227,10225
12,1.1241049505236118e-14,1.3886056748901865e-09,0.00010348721709814658,5.178939484680627e-06,5.897778338393468e-06,0.00017857207546387196,0.00025233291438892034,2.2254821419549357e-05,7.758926191314686e-06,10240,10239
13,3.5902586730571057e-14,1.3886021221765077e-09,5.338558148196258e-05,5.180036624944737e-06,5.897792682610661e-06,0.00017723652232941642,0.0002557799850917791,3.5902586730571057e-14,1.3886021221765077e-09,10240,10240
