,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.0006480371626998659,0.002277511387518274,0.0037373862643942757,0.032872560319406885,0.0012297870518688378,0.015586189363251306,0.019810602669788756,0.00017942944560365718,0.001207686529464696,23,13
2,0.00020973485844700748,0.0013814469763385048,0.0003811323810660136,0.0013822819244843677,0.0015736154542296986,0.06674471373249014,0.00231975858473373,0.00010106000494054802,0.0008123348155129162,89,79
3,0.0012682015033789774,0.0009913990946367455,0.00032745915762210037,8.399924750681092e-05,5.414817201678713e-05,0.014584047888525489,0.0023815630102689525,0.0001967527659587098,0.0006381416383276378,309,299
4,0.0030801214539906575,0.002320445652868858,0.0001070803589471506,8.54633433515276e-06,8.702540439041239e-06,0.003438911398268083,0.0008355029432520555,0.001287722928488184,0.0005008970122078937,804,794
5,0.0036940584989094867,0.0022555202980193865,6.530287239787945e-05,3.489976543571598e-06,3.612956382775062e-06,0.0006837844667394952,0.00032775174835501184,0.002511854741483933,0.0003848232390781799,1596,1586
6,0.0025627768146121816,0.002854358658654055,2.5204733766931135e-05,3.4858014582969517e-06,3.6129038309760258e-06,0.000259449551024035,0.00014627701385710285,0.0027620149477044706,0.00026976590301470873,2519,2510
7,0.0012414432776453968,0.0033660266864787886,3.1450788363113525e-05,9.589267283594372e-07,1.4721781546689485e-06,8.532945597394372e-05,3.3931412014732164e-05,0.0019362870740552817,0.00016634110600825076,3310,3302
8,0.0003337219770064716,0.0018127402209324034,2.0598923399101057e-05,9.58860692017989e-07,1.4718393401615703e-06,5.005668895913716e-05,8.356363622599517e-06,0.000944944200046322,7.86142249253286e-05,3802,3797
9,3.151863348436692e-05,0.00023696003265143864,1.2182714551872481e-05,7.657582686894335e-08,1.0236347017840588e-06,1.5974650827237595e-05,1.906871439240827e-06,0.0002655635490016062,2.180052459504228e-05,4021,4017
10,5.383164750582682e-07,2.0445433091874993e-05,9.098179892444934e-06,7.658654122424521e-08,1.0235956474232651e-06,8.656295670107523e-06,1.9210248192533787e-07,2.989746341623056e-05,2.1297175104475132e-06,4084,4083
11,1.2770447004752975e-15,4.857922185723605e-16,2.023894562657266e-05,9.336839122665047e-15,1.107301539135641e-06,1.7419152669104318e-32,1.7419152669104318e-32,7.332380211571765e-07,2.789262789416796e-07,4096,4095
12,3.0413809575327077e-32,0.0,1.2593508957706615e-05,9.336839122665047e-15,1.107301539135641e-06,1.7419152669104318e-32,1.7419152669104318e-32,3.0413809575327077e-32,0.0,4096,4096
