,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII
10,1.8421595096588135,5519.0,28.0,0.03660113944612829,8.576581716537476,0.19069966710996755,18.850481510162354,0.03193320083387369,8.62435269355774,0.48040360716203023,1.3957188129425049,0.3004707062396579,0.8524186611175537
16,1.6304230690002441,5214.0,31.0,0.1066279692421282,9.72817325592041,0.8697125665371717,25.07246994972229,0.08831098114383404,9.94384765625,1.0607428456936046,1.4889740943908691,0.6667214688727737,0.7665848731994629
18,2.126143217086792,7164.0,26.0,0.057994425642091334,9.697434425354004,0.2164912385567999,18.856040239334106,0.054695207167042285,9.848647117614746,0.7934573708233246,1.5865952968597412,0.3323816747526935,1.057011604309082
20,2.1797170639038086,6526.0,38.0,0.05617749196569555,17.6514630317688,2.4182562088615227,57.243006467819214,0.04895233021289208,17.790003299713135,1.3290839051987682,2.232257127761841,0.36393984155602066,1.0600101947784424
22,1.159285545349121,3997.0,24.0,0.06064545144955469,4.769289493560791,0.42871731819446646,8.50331974029541,0.0373054525975452,4.826553583145142,0.7874805688367176,0.8306915760040283,0.35659963974852416,0.5896463394165039
23,0.7757947444915771,2831.0,22.0,0.02613403805501896,2.963064670562744,0.22818756817265087,4.657939434051514,0.021909290041561676,2.857924461364746,1.019980947346237,0.6596395969390869,0.3022037420159964,0.3498411178588867
24,1.680570363998413,5167.0,21.0,0.023608449267964543,4.84932541847229,0.2268926169200624,7.365612030029297,0.028299371768112553,5.055445909500122,0.3586282317367554,1.098310947418213,0.6018163240759419,0.7235050201416016
25,2.9599716663360596,8718.0,33.0,0.021830861259094825,18.177038431167603,0.169177826098045,48.9502158164978,0.013530276516984916,18.637112140655518,0.6400483414059639,2.4187204837799072,0.1660985522190277,1.3933167457580566
31,1.8660705089569092,6157.0,26.0,0.06605723537987397,8.472837686538696,0.24279729395362162,17.217649936676025,0.0614974753046946,8.968841552734375,1.134316343116584,1.5021023750305176,0.39013650867281024,0.9539661407470703
32,2.8323886394500732,8158.0,34.0,0.03234032498190869,18.198816061019897,0.2228518086344751,49.24889945983887,0.030921106064236734,18.252442121505737,1.2093088090908373,2.304799795150757,0.37234484741294244,1.3194220066070557
33,1.2876348495483398,4367.0,20.0,0.0292693395808075,3.8859970569610596,0.16546677377372518,5.488449811935425,0.04198707216536761,3.8161380290985107,0.2900520072975713,0.9152042865753174,0.48304111383644177,0.5173602104187012
40,2.9362692832946777,8239.0,24.0,0.012785775610807374,9.661011934280396,0.04559001895899731,17.051480531692505,0.010314556852893874,9.985707521438599,0.10505003166790051,1.7824146747589111,0.15087611422440786,1.110734462738037
41,1.7341625690460205,5711.0,29.0,0.04565603533636178,9.02757215499878,0.18634893277257453,21.113529920578003,0.04406029249159257,9.162123680114746,0.5444713834629057,1.4212079048156738,0.490641319903262,0.849052906036377
45,1.3731412887573242,4495.0,27.0,0.03543366979935177,6.432974815368652,0.3960936659756126,13.897019624710083,0.03032398720363683,6.524547576904297,0.5709479620904362,1.018585443496704,0.40731565329184033,0.6904428005218506
49,2.572789430618286,7822.0,30.0,0.021091061448573423,13.461130619049072,0.1648263029320779,31.974414825439453,0.016186728996390017,13.669268131256104,0.5602316261353348,2.0763959884643555,0.1610489037376365,1.1340744495391846
50,0.7093091011047363,2255.0,20.0,0.03963529392085361,1.9921290874481201,0.3058213777091349,3.0465786457061768,0.06498672179862705,2.035982131958008,4.059260062514019,0.4360358715057373,0.3860438724282123,0.2703893184661865
52,2.944551706314087,8239.0,24.0,0.01109029289938532,9.597582817077637,0.04480301616276395,16.899693965911865,0.010570980860215103,9.827042818069458,0.1421557421508998,1.7685563564300537,0.18179434761782862,1.130030632019043
53,2.9985768795013428,7919.0,27.0,0.007498477294511564,11.321765422821045,0.05042318937053238,23.75320029258728,0.008200547307218205,11.647990465164185,0.19134192957092416,1.8764185905456543,0.1383849199060474,1.1573631763458252
56,1.947706937789917,6349.0,34.0,0.17282880681563825,13.916454553604126,0.29010629105055896,38.178523540496826,0.12375901689916112,14.016538858413696,0.2185249962687568,1.8619441986083984,0.7556770826835562,1.0350396633148193
58,1.6578333377838135,5198.0,37.0,0.037136735808112886,13.13117241859436,41.863292999814135,42.258312702178955,0.03301161610752852,13.324087381362915,9.528104626208734,1.6855831146240234,0.2327994455080166,0.9011077880859375
59,0.8108615875244141,3008.0,26.0,0.019354436933812516,4.053264856338501,1.7550587704911218,8.239943027496338,0.010203239093247999,4.056244134902954,1.396357556356268,0.6802520751953125,0.08604013128166343,0.45898962020874023
63,2.590527057647705,8269.0,35.0,0.06600747755451308,18.767247915267944,0.2687106184503743,55.47970414161682,0.0642100589723237,19.245091199874878,1.1813829138721237,2.419109582901001,0.4471066876106152,1.3882036209106445
64,1.4326450824737549,4622.0,31.0,0.04319165732626938,8.4781494140625,4.252563709623614,22.26076626777649,0.047801265879281,8.692810535430908,2.882531531296171,1.2257187366485596,0.4419540007170405,0.7668688297271729
65,2.0522780418395996,6191.0,22.0,0.0323243536088617,6.255783796310425,0.17745384104027176,9.503831148147583,0.020356166165577286,6.22185206413269,0.3836762670625636,1.2949745655059814,0.330156422972141,0.8656163215637207
67,2.282987356185913,6831.0,26.0,0.013509030149916272,9.286902904510498,0.04265445673342369,18.046841144561768,0.012195839089319654,9.378308534622192,1.1526747496523162,1.59147047996521,0.1411346549178452,0.8873045444488525
68,2.392583131790161,6959.0,26.0,0.008892278265168845,9.253655433654785,0.07892208863819737,18.255177974700928,0.011308910544506228,9.44078254699707,1.1416686195096666,1.7074799537658691,0.25606604305876735,0.9192805290222168
