,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII
10,1.6229088306427002,5519.0,28.0,0.04978603812878586,35.72724914550781,0.9558055205063201,70.99429655075073,0.005813117242121674,36.4009222984314,0.89383516568264,1.817509412765503,0.21283753650185352,0.8475337028503418
16,1.7359182834625244,5214.0,31.0,0.10377176054636915,74.71581411361694,0.8422590379999946,79.78258347511292,0.013934444334896226,52.20460391044617,2.422886843678838,1.8507053852081299,0.18044784196898192,1.030350923538208
18,2.518242120742798,7164.0,26.0,0.15124883673748699,41.241591930389404,6.473158636050606,91.3976845741272,0.006355113951774625,33.252665519714355,2.474246227524921,2.154364824295044,0.2887866366223484,1.1893129348754883
20,2.2644712924957275,6526.0,38.0,0.03564787324446164,176.27492237091064,1.3127425227396923,146.26424622535706,0.0032629932224844025,134.782954454422,2.1941090697866947,2.9210879802703857,0.09292463431969375,1.2778584957122803
22,1.3846371173858643,3997.0,24.0,0.09487506225854747,19.275129079818726,6.982111708102891,35.85359168052673,0.005563964745232593,13.828513383865356,2.6466165940533926,1.1037895679473877,0.2534396073872495,0.6227524280548096
23,0.8411500453948975,2831.0,22.0,0.04254423268801861,10.207283020019531,1.636768161756326,16.798147916793823,0.0036969408580134924,7.645453453063965,2.3241503338041505,0.6948480606079102,0.23348412174571367,0.3535037040710449
24,1.7858715057373047,5167.0,21.0,0.055928030661383486,16.02236819267273,1.1284159602013915,31.460301160812378,0.005744310517418404,13.381926774978638,1.370692777425436,1.2359552383422852,0.2606961196949624,0.7259371280670166
25,2.98165225982666,8718.0,33.0,0.01588107943114902,133.3044273853302,6.243805937017653,167.39400935173035,0.0032685516825752057,121.07329440116882,1.7308574754180368,3.4528110027313232,0.05447730024446004,1.6498773097991943
31,2.1352381706237793,6157.0,26.0,0.09957878109031423,34.79305720329285,12.081338919926903,71.47367835044861,0.013887214134116435,27.450539350509644,4.517671928380588,1.877899408340454,0.20394465850781582,0.9512033462524414
32,2.8558456897735596,8158.0,34.0,0.02875531352337778,141.40793919563293,3.286722213430326,158.3559534549713,0.003233317515455854,124.33729672431946,2.812649744068635,3.261119842529297,0.09461999884920448,1.5701231956481934
