,71
0,0.0
1,1.0
2,0.6666666666666666
3,0.75
4,0.8
5,1.0
6,0.8571428571428571
7,0.875
8,0.8888888888888888
9,0.8
10,0.8181818181818182
11,0.75
12,0.6923076923076923
13,0.6428571428571429
14,0.6666666666666666
15,0.625
16,0.5882352941176471
17,0.6111111111111112
18,0.5789473684210527
19,0.55
20,0.5238095238095238
21,0.5
22,0.4782608695652174
23,0.4583333333333333
24,0.48
25,0.46153846153846156
26,0.4444444444444444
27,0.42857142857142855
28,0.41379310344827586
29,0.43333333333333335
