,budget,budget_upper_bound,max_neighborhood_size,n_players
990,101056,False,2,47
991,6656,False,2,23
992,2048,False,2,11
993,29143,False,2,60
994,3072,False,2,14
995,512,False,2,9
996,3392,False,2,22
997,512,False,2,9
998,640,False,2,12
999,2304,False,2,15
1000,32,False,2,5
1001,4288,False,2,27
1002,32,False,2,5
1003,163456,False,2,40
1004,5760,False,2,25
1005,818208,False,2,53
1006,22649,False,2,55
1007,1600,False,2,14
1008,8160864,False,2,57
1009,2688,False,2,15
1010,22464,False,2,25
1011,8189,False,2,44
1012,32,False,2,5
1013,64,False,2,6
1014,64,False,2,6
1015,3264,False,2,22
1016,21999,False,2,26
1017,141696,False,2,80
1018,314278,False,2,36
1019,704,False,2,11
1020,518449,False,2,40
1021,800,False,2,13
1022,32,False,2,5
1023,1120,False,2,16
1024,2589157,False,2,90
1025,512,False,2,9
1026,6871,False,2,24
1027,3145973,False,2,41
1028,27193,False,2,34
1029,1792,False,2,14
1030,128,False,2,7
1031,131072,False,2,17
1032,104336,False,2,19
1033,1024,False,2,10
1034,125518,False,2,34
1035,231302,False,2,56
1036,9435,False,2,24
1037,1760,False,2,33
1038,8480,False,2,34
1039,37632,False,2,20
1040,32,False,2,5
1041,16,False,2,4
1042,256,False,2,8
1043,1376,False,2,18
1044,16,False,2,4
1045,608,False,2,13
1046,16,False,2,4
1047,3456,False,2,18
1048,1280,False,2,11
1049,6487,False,2,22
1050,1408,False,2,12
1051,61250,False,2,32
1052,21712,False,2,20
1053,2481,False,2,16
1054,32,False,2,5
1055,64,False,2,6
1056,448,False,2,10
1057,64,False,2,6
1058,64,False,2,6
1059,2176,False,2,24
1060,2208,False,2,24
1061,128,False,2,7
1062,46176,False,2,18
1063,5184,False,2,17
1064,256,False,2,8
1065,568194,False,2,64
1066,1600,False,2,14
1067,512,False,2,9
1068,2048,False,2,11
1069,256,False,2,8
1070,281192,False,2,33
1071,12992,False,2,17
1072,64479232,True,2,96
1073,6439,False,2,14
1074,6720,False,2,16
1075,39027688,True,2,72
1076,1888,False,2,22
1077,64,False,2,6
1078,64,False,2,6
1079,256,False,2,8
1080,3200,False,2,15
1081,128,False,2,7
1082,13056,False,2,14
1083,21376,False,2,26
1084,247,False,2,8
1085,3232,False,2,27
1086,2080,False,2,24
1087,1920,False,2,13
1088,16,False,2,4
1089,3552,False,2,38
1090,2176,False,2,21
1091,871,False,2,10
1092,2208,False,2,21
1093,128,False,2,7
1094,1056,False,2,18
1095,127,False,2,12
1096,64,False,2,6
1097,2048,False,2,11
1098,768,False,2,10
1099,2560,False,2,29
1100,13934,False,2,36
1101,128,False,2,7
1102,2047,False,2,20
1103,49472,False,2,16
1104,16,False,2,4
1105,64,False,2,6
1106,32,False,2,5
1107,2368,False,2,22
1108,32,False,2,5
1109,1472,False,2,15
1110,1408,False,2,16
1111,32,False,2,5
1112,67809,False,2,40
